Date,Gasto_Publicidad,Ventas,Ordenes,Google_Trends_Opry,Google_Trend_Nashville,Flights_to_Nashville,Organic,Email,Retail_sales__total,GAFO_1_,unemployment,cpi,fed_rate,mei,sp,Holliday_seasson,black_friday,christmas,columbus_day,cyber_monday,easter_sunday,fathers_day,fathers_day_1wf_before,good_friday,halloween,hanukkah_start,independence_day,juneteenth,labor_day,memorial_day,mothers_day,presidents_day,prime_day,small_business_saturday,thanksgiving,two_weeks_before_christmas,valentine_day,veterans_day,week_before_christmas
2023-03-25,101030.34,1393576.00,17489.00,10.00,100.00,2553500.00,404044,85459,147390,30610.25,0.875,75.459,1.1625,-0.2,992.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,39261.42,1020225.20,14953.00,6.00,25.00,2068200.00,343930,42426,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,38278.84,1133247.20,17228.00,5.00,21.00,2068200.00,311448,44304,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,54829.83,1592108.80,22265.00,6.00,21.00,2068200.00,344501,124947,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,59622.22,1520991.20,20829.00,11.00,20.00,2068200.00,339243,44133,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-29,59206.98,980815.20,13957.00,8.00,21.00,2068200.00,323449,124423,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-06,75817.11,988450.00,15198.00,6.00,22.00,2614750.00,308338,41279,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-13,78554.19,1686537.20,21099.00,9.00,19.00,2614750.00,184907,13698,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023-05-20,78221.90,1369842.20,19278.00,9.00,19.00,2614750.00,310347,80534,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-27,78538.59,803375.20,10846.00,8.00,19.00,2614750.00,309816,131524,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023-06-03,77407.26,1420565.80,20123.00,6.00,19.00,2641250.00,327742,123949,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-10,88603.78,1903056.60,23275.00,6.00,20.00,2641250.00,384635,88133,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-17,84633.45,1271570.00,18055.00,11.00,22.00,2641250.00,370699,71808,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-06-24,81519.64,1414978.20,20394.00,8.00,24.00,2641250.00,429265,139292,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,71459.69,1563282.80,21631.00,9.00,20.00,2133400.00,480042,147368,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-08,70189.12,1248054.20,18314.00,10.00,20.00,2133400.00,412722,134522,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-15,72761.44,1298845.20,18416.00,10.00,21.00,2133400.00,412797,183881,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-22,72057.61,1476628.60,20409.00,14.00,22.00,2133400.00,442485,124460,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-29,69988.04,1742308.80,23542.00,9.00,19.00,2133400.00,482330,167985,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-05,67712.40,1303948.00,18086.00,10.00,21.00,2684250.00,494227,195052,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-12,68675.38,990365.20,15025.00,10.00,22.00,2684250.00,483229,343710,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-19,69906.02,1851634.80,19778.00,9.00,22.00,2684250.00,478845,132457,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-26,68763.69,1020842.28,14657.00,11.00,19.00,2684250.00,435067,150560,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-02,66345.76,1044912.00,14753.00,12.00,17.00,2156800.00,442497,160094,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023-09-09,71694.46,1358801.20,17601.00,12.00,18.00,2156800.00,473227,162530,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-16,72492.59,1556777.60,20401.00,11.00,18.00,2156800.00,443798,190180,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-23,71714.86,1511151.20,19704.00,11.00,17.00,2156800.00,451237,219614,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-30,69765.49,659043.40,8974.00,16.00,18.00,2156800.00,498787,79692,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-07,70679.94,1681313.60,21659.00,10.00,17.00,2716000.00,501302,158425,148566.5,31336,0.975,76.91775,1.3325,0.125,1064.745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-14,70550.54,1130322.80,16941.00,13.00,18.00,2716000.00,467456,86428,148566.5,31336,0.975,76.91775,1.3325,0.125,1064.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
